500 100
e1 e2 56.991784
e1 e3 24.065906
e1 e4 48.492749
e1 e5 45.374737
e1 e6 41.249005
e1 e7 16.708038
e1 e8 55.006851
e1 e9 41.201311
e1 e10 35.446285
e1 e11 58.841380
e1 e12 38.544567
e1 e13 31.447611
e1 e14 16.108817
e1 e15 32.990753
e1 e16 42.102720
e1 e17 52.747787
e1 e18 49.738929
e1 e19 20.672415
e1 e20 14.870668
e1 e21 21.973423
e1 e22 54.574442
e1 e23 31.957191
e1 e24 20.446269
e1 e25 68.729961
e1 e26 22.869530
e1 e27 19.234283
e1 e28 29.453568
e1 e29 48.002434
e1 e30 58.958529
e1 e31 31.765218
e1 e32 56.293649
e1 e33 40.364846
e1 e34 50.287810
e1 e35 48.081846
e1 e36 13.170378
e1 e37 28.737671
e1 e38 36.866662
e1 e39 40.862849
e1 e40 77.596593
e1 e41 45.055363
e1 e42 19.125171
e1 e43 51.845229
e1 e44 61.580288
e1 e45 48.605828
e1 e46 30.853286
e1 e47 34.660603
e1 e48 64.127452
e1 e49 54.136610
e1 e50 48.766962
e1 e51 74.661693
e1 e52 20.323705
e1 e53 23.306063
e1 e54 45.490695
e1 e55 47.211607
e1 e56 59.299891
e1 e57 63.648364
e1 e58 64.437557
e1 e59 17.892547
e1 e60 22.207430
e1 e61 17.130438
e1 e62 59.970883
e1 e63 67.958668
e1 e64 27.737482
e1 e65 42.171909
e1 e66 45.078871
e1 e67 12.389351
e1 e68 11.972261
e1 e69 12.080014
e1 e70 75.582227
e1 e71 69.195044
e1 e72 53.144435
e1 e73 51.963758
e1 e74 43.305778
e1 e75 55.019225
e1 e76 25.352603
e1 e77 53.467767
e1 e78 24.094453
e1 e79 64.192319
e1 e80 51.171122
e1 e81 2.877018
e1 e82 39.919107
e1 e83 47.715576
e1 e84 52.798994
e1 e85 21.139047
e1 e86 35.165678
e1 e87 63.047240
e1 e88 53.845186
e1 e89 46.549632
e1 e90 54.369632
e1 e91 53.090443
e1 e92 29.520122
e1 e93 47.096122
e1 e94 56.991747
e1 e95 58.149922
e1 e96 55.967879
e1 e97 67.659852
e1 e98 57.563856
e1 e99 36.969345
