100 20
e1 e2 77.017600
e1 e3 77.545206
e1 e4 81.390165
e1 e5 97.667133
e1 e6 40.422356
e1 e7 47.266538
e1 e8 99.405041
e1 e9 25.200351
e1 e10 104.863712
e1 e11 67.265828
e1 e12 9.864043
e1 e13 82.738259
e1 e14 49.957863
e1 e15 89.533203
e1 e16 39.109712
e1 e17 3.594546
e1 e18 55.352368
e1 e19 43.405596
e1 e20 81.770582
e1 e21 75.378248
e1 e22 77.077763
e1 e23 84.703087
e1 e24 83.792334
e1 e25 70.666447
e1 e26 64.444195
e1 e27 82.449717
e1 e28 37.391348
e1 e29 24.453946
e1 e30 54.659624
e1 e31 69.945401
e1 e32 16.194542
e1 e33 52.196480
e1 e34 7.085377
e1 e35 47.134499
e1 e36 98.025829
e1 e37 65.888083
e1 e38 67.252087
e1 e39 25.158910
e1 e40 30.840977
e1 e41 52.611112
e1 e42 65.044905
e1 e43 43.742047
e1 e44 70.643702
e1 e45 87.597380
e1 e46 12.949530
e1 e47 57.454077
e1 e48 85.540720
e1 e49 59.660874
e1 e50 4.205733
e1 e51 60.937562
e1 e52 13.683597
e1 e53 56.774999
e1 e54 56.910606
e1 e55 49.955916
e1 e56 85.873091
e1 e57 58.341125
e1 e58 98.462497
e1 e59 16.616481
e1 e60 5.668198
e1 e61 98.476230
e1 e62 24.524492
e1 e63 39.940279
e1 e64 84.922191
e1 e65 47.994164
e1 e66 110.226960
e1 e67 100.276924
e1 e68 52.459556
e1 e69 51.547269
e1 e70 48.902114
e1 e71 10.288659
e1 e72 70.689149
e1 e73 12.693858
e1 e74 63.774812
e1 e75 57.953553
e1 e76 75.343999
e1 e77 48.238692
e1 e78 69.503570
e1 e79 38.686335
e1 e80 74.317012
e1 e81 61.734182
e1 e82 49.357229
e1 e83 52.606595
e1 e84 47.679537
e1 e85 62.855157
e1 e86 34.851185
e1 e87 92.012275
e1 e88 52.121335
e1 e89 76.978379
e1 e90 47.477837
e1 e91 59.217169
e1 e92 50.330458
e1 e93 53.849091
e1 e94 66.484328
e1 e95 82.934455
e1 e96 43.110438
e1 e97 10.292844
e1 e98 82.963308
e1 e99 101.685227
e1 e100 76.188918
e2 e3 2.409443
e2 e4 30.859001
e2 e5 64.411944
e2 e6 90.813829
e2 e7 33.589324
e2 e8 56.655044
e2 e9 75.651741
e2 e10 58.681685
e2 e11 67.107965
e2 e12 84.744845
e2 e13 78.928138
e2 e14 28.335217
e2 e15 91.452810
e2 e16 41.283339
e2 e17 75.548017
e2 e18 62.748483
e2 e19 58.596738
e2 e20 21.430190
e2 e21 49.226620
e2 e22 75.577942
e2 e23 93.686922
e2 e24 30.303964
e2 e25 22.912391
e2 e26 69.765305
e2 e27 53.488384
e2 e28 86.066067
e2 e29 98.947585
e2 e30 22.630286
e2 e31 84.461710
e2 e32 86.523872
e2 e33 45.251046
e2 e34 78.374832
e2 e35 32.722521
e2 e36 71.246471
e2 e37 42.525706
e2 e38 54.208111
e2 e39 51.860237
e2 e40 78.835151
e2 e41 62.518839
e2 e42 28.169162
e2 e43 33.486818
e2 e44 51.007574
e2 e45 33.320234
e2 e46 74.362900
e2 e47 69.495378
e2 e48 60.963710
e2 e49 104.115495
e2 e50 74.969340
e2 e51 81.866607
e2 e52 90.476475
e2 e53 31.634726
e2 e54 68.015438
e2 e55 77.277050
e2 e56 61.544623
e2 e57 28.402590
e2 e58 46.136590
e2 e59 61.542709
e2 e60 79.032078
e2 e61 59.107327
e2 e62 82.331471
e2 e63 49.067518
e2 e64 98.763681
e2 e65 33.830006
e2 e66 69.207254
e2 e67 52.437929
e2 e68 24.686496
e2 e69 33.018576
e2 e70 37.264094
e2 e71 85.719759
e2 e72 57.426530
